filename,title,category,document_id,status,error
KB-0150-电费缴纳指南.md,电费缴纳指南,生活服务,68d8c964-2f65-4542-aaeb-7535301e2da1,ok,
KB-0151-宿舍报修流程.md,宿舍报修流程,生活服务,c76bb0d7-1180-41bf-afe4-12a6762a10fc,ok,
KB-0152-校园卡办理与使用.md,校园卡办理与使用指南,生活服务,0d1e9952-fc11-4657-8734-14eb313999e5,ok,
KB-0153-水电管理与节约.md,水电管理与节约要求,生活服务,3b59d355-b8b4-4aff-b423-ece4ec04a3ca,ok,
KB-0154-学生公寓管理规定.md,学生公寓管理规定,生活服务,db516558-d764-4a95-8975-84861899be79,ok,
KB-0155-请假销假制度.md,学生请假销假制度,学生管理,0fe4a727-9ec1-46d5-b0d8-519f053a9e0b,ok,
KB-0156-奖学金评定指南.md,奖学金评定指南,学生资助,a12293d0-5901-4c38-9787-a985e38b132c,ok,
KB-0157-学生纪律处分规定.md,学生纪律处分规定,学生管理,374985a3-3ae1-4f59-bcc9-b77e47b4ce4e,ok,
KB-0158-图书馆使用指南.md,图书馆使用指南,生活服务,8a7447ff-3cdb-43e0-841a-d2382efc487a,ok,
KB-0159-学籍管理规定.md,学籍管理规定,学业管理,b9b0ff40-23e3-4b29-8b66-391226c83c9d,ok,
KB-0160-校园交通安全管理.md,校园交通安全管理,校园安全,d4e41bc6-132a-4b9c-9e13-6d4701d74e34,ok,
KB-0161-勤工助学指南.md,勤工助学指南,学生资助,56228a51-f184-481a-a725-028063eb6d24,ok,
KB-0162-困难认定与助学金申请.md,困难认定与助学金申请指南,学生资助,166672d2-8fb6-4739-b1f2-15d3c7ebeb42,ok,
KB-0163-助学贷款指南.md,助学贷款指南,学生资助,c0710bfb-b5a2-4075-8e3a-0a7b5a12cc63,ok,
KB-0164-学费缴纳指南.md,学费缴纳指南,学业管理,9acfa53f-4238-4b89-9b12-6037a41d2d1e,ok,
KB-0165-考试纪律与违纪处理.md,考试纪律与违纪处理,学业管理,5f7372f5-9b10-4de7-a8b4-3c98da6824c4,ok,
KB-0166-校外住宿管理规定.md,校外住宿管理规定,生活服务,3d917042-3cd3-460e-8d18-dfd0fe923807,ok,
KB-0167-心理健康教育与咨询.md,心理健康教育与咨询服务,学生服务,304ee1fa-08d8-46e7-8108-f8a2fb3c066c,ok,
KB-0168-出国留学指南.md,出国留学指南,学业发展,f0ee83bc-dc5a-4451-b254-3d306bd03d97,ok,
KB-0169-学生证件管理.md,学生证件管理,学生管理,2a468c0b-b714-4dbd-a7ba-defc4c60ce12,ok,
KB-0170-食堂就餐公约.md,食堂就餐公约,生活服务,1600e44a-b994-4a3b-b2ae-a65c971ffe52,ok,
KB-0171-绿色通道与学费减免.md,绿色通道与学费减免,学生资助,d8f21f77-0ec1-425d-95b8-3794f87c6be2,ok,
KB-20260324-0001.md,新生入学报到与学籍注册规则,入学与学籍,de48a6d5-826f-478d-bbf0-b2f0aa9c7708,ok,
KB-20260324-0002.md,本科生励志奖学金申请评审规则,奖助贷补,ced5c848-760f-4a50-959b-b28bf716a3a0,ok,
KB-20260324-0003.md,教育在线学籍名单核对流程,入学与学籍,c1cf94c2-e7d0-47ec-9147-1e09c34bff7d,ok,
KB-20260324-0004.md,学信网学籍注册核验与身份证号重复处理,入学与学籍,ab14dff8-2358-4c2f-8dbd-9ffad5a08c33,ok,
KB-20260324-0005.md,2025级新生入学资格审查与录取资格复查流程,入学与学籍,36a0ce93-889e-40c6-87c8-aefbaf41ba6b,ok,
KB-20260324-0006.md,家庭经济困难认定与助学金评审时间节点,奖助贷补,e7352b32-2ae2-41a5-bd42-f397c251f87f,ok,
